Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c5g,Black Oudh Alcohool Free DeoDorant Spray 200ml (Pack of 3),"<p>Black Oudh is a blend of the world’s finest essential oils. The brilliant top note is refreshing and zesty and bursts into life with a bracing citrus complex, predominantly Italian lemon and bergamot supported by French lavender and Indian Basil giving the top its typical Mediterranean character. The heart notes are an alluring blend, rich and unique, of precious rose, grown in a very unique French village supported by iris from Tuscany.</p>
",6255,,Perfumes,"",true,color,3 Pcs,,size,3 Pcs,,,,,DS097382,0.0,shopify,deny,manual,1149.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621805986-45.jpg?v=1780816830,1,"",false,,,,kg,,549.00,active
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347143-45.jpg?v=1780816829,2,"",,,,,,,,
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549924-45.jpg?v=1780816829,3,"",,,,,,,,
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651084-45.jpg?v=1780816829,4,"",,,,,,,,
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c4g,Black Oudh Alcohool Free DeoDorant Spray 200ml (Pack of 1),"<p>Black Oudh is a blend of the world’s finest essential oils. The brilliant top note is refreshing and zesty and bursts into life with a bracing citrus complex, predominantly Italian lemon and bergamot supported by French lavender and Indian Basil giving the top its typical Mediterranean character. The heart notes are an alluring blend, rich and unique, of precious rose, grown in a very unique French village supported by iris from Tuscany.</p>
",6255,,Perfumes,"",true,color,1 Pc,,size,1 Pc,,,,,DS097380,0.0,shopify,deny,manual,429.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621806155-43.jpg?v=1780816819,1,"",false,,,,kg,,289.00,active
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347088-43.jpg?v=1780816818,2,"",,,,,,,,
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549903-43.jpg?v=1780816818,3,"",,,,,,,,
black-oudh-alcohool-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54c4g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651066-43.jpg?v=1780816818,4,"",,,,,,,,
aro-magnet-alcohol-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54brg,Aro Magnet Alcohol Free DeoDorant Spray 200ml (Pack of 1),"<p>Nation’s most widely used men’s perfume for almost a decade. A rarity in the world of perfumery, almost half the men in India have worn it sometime in their life. Even today it is one of the top ten perfumes in India. Its success is a result of the typically masculine scent, a classic fougere accord updated with a contemporary fruity note.</p>
",6255,,Perfumes,"",true,color,1 Pc,,size,1 Pc,,,,,DS097362,0.0,shopify,deny,manual,649.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621806601-25.jpg?v=1780816805,1,"",false,,,,kg,,289.00,active
aro-magnet-alcohol-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54brg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347412-25.jpg?v=1780816805,2,"",,,,,,,,
aro-magnet-alcohol-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54brg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549987-25.jpg?v=1780816804,3,"",,,,,,,,
aro-magnet-alcohol-free-deodorant-spray-200ml-pack-of-1-cvgh326ikj45u7o54brg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651142-25.jpg?v=1780816805,4,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-2-cvgh326ikj45u7o54c0g,Aro PDS Alcohol Free DeoDorant Spray 200ml (Pack of 2),"<p>Flower breeze, powdery, woody and ambery, a very floral blend of rich herbs blended with elegant warm elements like vetiver, patchouli, amber and sandalwood, leaves you feeling cozy.</p>
",6255,,Perfumes,"",true,size,2 Pcs,,color,2 Pcs,,,,,DS097372,0.0,shopify,deny,manual,899.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621806214-35.jpg?v=1780816794,1,"",false,,,,kg,,419.00,active
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-2-cvgh326ikj45u7o54c0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347302-35.jpg?v=1780816794,2,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-2-cvgh326ikj45u7o54c0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549885-35.jpg?v=1780816793,3,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-2-cvgh326ikj45u7o54c0g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651190-35.jpg?v=1780816793,4,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c10,Aro PDS Alcohol Free DeoDorant Spray 200ml (Pack of 3),"<p>Flower breeze, powdery, woody and ambery, a very floral blend of rich herbs blended with elegant warm elements like vetiver, patchouli, amber and sandalwood, leaves you feeling cozy.</p>
",6255,,Perfumes,"",true,size,3 Pcs,,color,3 Pcs,,,,,DS097373,0.0,shopify,deny,manual,1749.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621806201-36.jpg?v=1780816784,1,"",false,,,,kg,,549.00,active
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621347305-36.jpg?v=1780816784,2,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621549882-36.jpg?v=1780816784,3,"",,,,,,,,
aro-pds-alcohol-free-deodorant-spray-200ml-pack-of-3-cvgh326ikj45u7o54c10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0631/4590/2139/files/1742621651192-36.jpg?v=1780816783,4,"",,,,,,,,
